Signa z
380,7560695
548,9069225
532,293923
553,0740829
635,5863824
340,726622730568
330,628874710056
292,200378342397
0
0
654,1754039
644,9113852
645,4660631
644,8418692
644,2225988
532,3867552
627,9989912
0
564,8175708
629,6416202
431,737801551218
0
458,676963255282
590,511510235741
591,8901933
586,838619729058
667,870070272425
685,426279726075
584,659701255598
435,179981439056
667,1209489
669,3609522
666,1895236
664,9709517
0
149,599404850232
154,1829854
164,257285125397
495,484429723408
163,950596814785
262,2971689
254,6385258
277,2458481
254,1527785
255,8009694
511,358031
507,6597682
504,5732514
480,3605732
479,5774017
478,6866071
490,4408047
71,4163575
0
684,5479671
483,1767105
272,764567
116,2860123
0
0
0
381,3058459
469,3806454
457,218399
433,6050775
424,6015602
454,3164346
435,7919512
449,0595036
366,4609468
450,2044528
453,9622189
454,230702
380,5234864
480,579363
499,9381049
0
376,3381294
0
479,0973348
476,7457547
485,7912036
823,388979129588
738,4419087
710,660021197744
207,073818878093
816,7234793
751,7813877
779,9531509
707,072154483015
1011,73877371917
0
0
730,2492222
693,909199556101
103,69409602805
112,735217900291
115,599441877001
