X1;X2;X3
2049,618803;3719,274606;1602,0110395
2069,633503;1539,037574;1118,5403981
2079,698058;3719,606186;1088,4988393
2437,739656;3651,410366;1132,18
2455,037649;3658,520554;1931,5585457
2289,757291;3391,040494;1947,31
2292,076899;3630,567705;1981,6321856
2518,793213;4006,364793;1365,9386318
2572,113603;3610,950152;1878,2313915
2284,068782;3602,480117;1860,7172171
2540,153085;3807,968246;841,7242338
2347,251063;3802,437098;1111,4892077
2297,263784;3783,578374;1930,9158881
2346,144188;2439,41862;1929,8679356
1670,528365;3982,676415;1711,3708359
2297,682981;3847,277893;1931,7872528
2442,821016;3665,856939;1137,9436814
2392,181943;3602,986515;1138,0926221
2436,764343;2332,765868;1911,7886358
2346,193995;1001,245252;1911,0421343
2315,484251;3103,943373;1929,821373
2293,893278;3208,382041;1934,9665588
2450,073417;3669,363506;1140,47
2523,642254;3149,360715;1394,916193
2515,752653;3938,493325;1938,8521281
1263,249303;3575,21733;1948,1414684
2466,392958;3618,480175;1928,5434966
2348,632787;3658,533626;1916,7113648
2457,35842;492,4569784;1897,4320406
2428,439625;3967,577877;1754,862425
2446,261569;3929,731382;1911,8006798
2298,308151;3654,586821;1902,8486455
2280,979456;3631,954477;1887,6006726
2435,393418;3659,852535;1912,56
2036,434037;3654,339737;1905,9272819
1950,920872;3654,587842;1911,7793198
2260,938503;3658,97392;1961,1827979
2633,535304;3737,510912;1908,3827368
2307,892861;3619,929782;1902,16
2019,70412089487;4223,0940434;1396,500536
1969,50258856238;4108,2586427;3493,712845
977,048969672934;4400,6535358;2446,715316
1619,60013011507;4160,1085215;3059,114102
1562,99215158499;4045,5942997;2998,63129
1760,87781489898;4178,6655544;3410,361626
1642,06130365817;4346,1716609;2343,444525
1946,1851319;4386,7933404;800,3544638
1944,1220348;4375,8227956;2010,035383
1643,04511827362;4361,3994636;2000,723076
1366,13911873443;4153,4429465;2097,774392
1376,87044772644;4380,3533531;968,9543589
1618,92171926635;4144,16;2029,336898
1459,85830576329;4441,2633035;1647,667023
1683,71041368188;4310,49;2320,266212
1650,33658142657;3934,4441892;3435,503381
1643,21525434865;4254,9423412;2013,737559
1677,61027362495;3917,8358321;2015,020385
1641,46366855754;4143,4956805;2681,506804
1368,89321449312;4176,8741414;67,7713351667396
1609,74272298419;4104,3075042;1279,2094794
1369,27155915566;3925,5348384;1281,861454
1644,00355122836;4150,4485583;1325,5008636
1293,26307079012;4168,1097707;1290,09
1651,98063164465;3800,76;1285,6
1825,65594462487;4133,5152926;1328,8322494
1640,63005531168;4153,8671137;1291,8
1673,60302183951;4214,4105336;1335,5257222
1259,39988555865;4175,1814525;1297,9
1644,42200754316;3949,4814078;1295,47
1646,26019483127;3947,5271942;1296,41
1654,36488806845;3950,4571927;1301,0306815
1619,33096664832;3944,8942212;1325,3666782
1618,91606989983;4140,37;1330,160525
1283,34938306133;3962,5314015;1328,16
1758,53232079116;4179,6670422;1330
1647,99862702767;3964,5;1246,6898292
1157,48436853015;3960,7685927;1260,4276871
1841,46840122275;4127,8114633;1335,76
1321,3441344;1311,033904;1276,6680885
1285,4446746;1302,291542;1252,4609652
1265,8704711;1169,77145;1350,19
1321,579249;3590,505442;1338,23
1278,8011608;1104,537619;1341,12
1279,2094794;3639,689894;1313,3695122
1281,861454;1310,15153;1353,6979484
1325,5008636;1161,717424;1255,249132
1290,09;1310,006444;1378,218718
1285,6;1301,203833;1325,2116421
1328,8322494;1308,846753;1259,5291247
1291,8;1299,472584;1318,1459079
1335,5257222;1305,975652;2681,71
1297,9;1297,621313;1270,6281042
1295,47;3733,889556;1320,2588838
1296,41;2362,035237;1095,377657
1301,0306815;2097,799399;2459,388965
1325,3666782;3770,386043;1663,42662
1330,160525;3769,611119;3635,085209
1328,16;3771,623385;1043,679684
